Business Name,Industry,Address,ZIP,Phone,Source,Verified,Opportunity Score,Notes
Little CEO's Childcare Center,CHILDCARE,San Antonio,78237,,winnie.com,MIXED,2,"78237 area"
YWCA Olga H. Madrid Center,CHILDCARE,San Antonio,78237,,countyoffice.org,MIXED,4,"Texas Rising Star, capacity 145"
Little Dragons Daycare,CHILDCARE,508 Cupples Rd,78237,,yellowpages,MIXED,3,"78237 area"
Discovery World Learning Center,CHILDCARE,San Antonio,78237,,web,MIXED,3,"3 SA locations"
Ages & Stages Learning Academy,CHILDCARE,1630 Whitman,78211,(210),care.com,MIXED,3,"78211 area"
Little Treehouse Early Learning Center #3,CHILDCARE,5310 Interstate Hwy 35 S,78211,(210) 932-9282,childcarecenter.us,MIXED,3,"Licensed center, capacity 58"
A Place for Kids Christian Learning Center,CHILDCARE,San Antonio,78211,(210) 680-5474,web,MIXED,2,"Christian learning center"
YMCA Early Learning Center,CHILDCARE,835 W Southcross Blvd,78211,(210),ymcasatx.org,MIXED,4,"78211, well-established"
PEST CONTROL LEADS:
Andrew's Pest Control,PEST CONTROL,1012 Montezuma St,78207,(210) 922-9947,cmac.ws,YES,4,"78207 area, rated"
Urban Texas Pest Control,PEST CONTROL,San Antonio,78237,,Yelp,MIXED,3,"78237"
X Out Pest Services,PEST CONTROL,San Antonio,78207,,Yelp,MIXED,3,"78207"
Family Pest Control,PEST CONTROL,San Antonio,78207,,Yelp,MIXED,4,"78207 & 78228 areas"
Beeline Pest Control,PEST CONTROL,San Antonio,78207,(210) 739-1320,Yelp,MIXED,4,"78228 & 78207"
EcoForce Pest Management,PEST CONTROL,San Antonio,78207,,Yelp,MIXED,3,"78207"
Blessed Pest Control,PEST CONTROL,San Antonio,78207,,Yelp,MIXED,3,"78207 & 78228 & 78237"
Bulwark Exterminating,PEST CONTROL,San Antonio,78228,(210),bulwarkpestcontrol.com,MIXED,4,"SA location, 78228 & 78211"
Truly Nolen Pest Control,PEST CONTROL,San Antonio,78228,(210),locations.trulynolen.com,MIXED,4,"National brand, 78228 & 78211"
Terminix,PEST CONTROL,San Antonio,78228,(844),terminix.com,MIXED,4,"National brand, 78228 & 78211"
Lackland Pest Control,PEST CONTROL,San Antonio,78237,,Yelp,MIXED,3,"78237 & 78228"
BUGCO Pest Control San Antonio,PEST CONTROL,San Antonio,78228,,Yelp,MIXED,3,"78228 & 78207"
Lone Star Bug & Pest Control,PEST CONTROL,San Antonio,78207,,Yelp,MIXED,3,"78207"
Massey Services,PEST CONTROL,San Antonio,78211,,masseyservices.com,MIXED,4,"78211 area, well-established"
Orkin,PEST CONTROL,San Antonio,78211,(800),orkin.com,MIXED,4,"National brand, 78211"
Aptive Pest Control,PEST CONTROL,San Antonio,78211,(210),ativepestcontrol.com,MIXED,3,"78211"
HomeTeam Pest Defense,PEST CONTROL,San Antonio,78211,(210),pestdefense.com,MIXED,4,"78211, well-reviewed"
Alta Pest Control,PEST CONTROL,San Antonio,78211,(210) 940-0623,web,MIXED,3,"78211"
Accurate Pest Control,PEST CONTROL,San Antonio,78211,(210),accuratepest.net,MIXED,3,"78211"
The Amazing Pest Guys,PEST CONTROL,San Antonio,78237,,web,MIXED,3,"78237"
Outstanding Extermination Services,PEST CONTROL,San Antonio,78228,,web,MIXED,2,"78228"
LANDSCAPING LEADS:
Reyes Landscaping,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,3,"78211 top listed"
Villeda Tree and Landscaping,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,3,"78211"
Burgess Services,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,3,"78211"
Superior Irrigation & Lawn,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,3,"78211"
J Lozano Lawn Services,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,2,"78211"
Eric & Eric Lawn Service,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,2,"78211"
Abby & Mike Landscaping,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,2,"78211"
J. Ponce and Son Landscaping,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,3,"78211"
Ecoterra Landscaping & Irrigation,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,3,"78211"
Tree Service of San Antonio,LANDSCAPING,San Antonio,78228,,superpages,MIXED,3,"78228, tree services"
Alexander's Roofing & Remodeling,LANDSCAPING,350 W Broadview Dr,78228,(210) 436-1135,roof.info,MIXED,2,"78228, landscape adjacent"
DDP Lawn Service,LANDSCAPING,934 SW 38th St,78237,,yellowpages,MIXED,2,"78237"
HVAC LEADS:
Proficient Air Conditioning & Heating,HVAC,San Antonio,78211,,yellowpages,MIXED,3,"78211, listed in YP"
Gillette Air Conditioning Inc,HVAC,San Antonio,78211,,yellowpages,MIXED,2,"78211"
Oliva Air Conditioning Heating & Refrigeration,HVAC,San Antonio,78207,,yellowpages,MIXED,3,"78207, YP listed"
Diamond Heating & Air Conditioning,HVAC,San Antonio,78207,,yellowpages,MIXED,3,"78207, YP listed"
Stay-Cool Air Conditioning & Heating,HVAC,San Antonio,78207,,yellowpages,MIXED,3,"78207, YP listed"
Henry's Air Conditioning Service & Supply Co,HVAC,San Antonio,78207,,yellowpages,MIXED,2,"78207, YP listed"
ATM HVAC,HVAC,San Antonio,78207,(210),atmhvac.com,MIXED,3,"78207 area"
PLUMBING LEADS:
Roto-Rooter Plumbing & Water Cleanup,PLUMBING,1426 W Commerce St,78207,(210),yellowpages,YES,5,"78207, national brand"
Schlundt Plumbing Co,PLUMBING,San Antonio,78211,,yellowpages,MIXED,3,"78211, YP listed"
Arredondo Plumbing & Supply,PLUMBING,San Antonio,78211,,yellowpages,MIXED,3,"78211, YP listed"
Coverall Plumbing,PLUMBING,San Antonio,78207,,yellowpages,MIXED,3,"78207, YP listed"
Richard's Plumbing & Repair Shop,PLUMBING,San Antonio,78207,,yellowpages,MIXED,2,"78207, YP listed"
Buffalo Plumbing Company,PLUMBING,San Antonio,78207,,yellowpages,MIXED,2,"78207, YP listed"
Holt Plumbing Solutions,PLUMBING,San Antonio,78207,,yellowpages,MIXED,3,"78207, YP listed"
Evenflow Plumbing & Electrical,PLUMBING,San Antonio,78207,,yellowpages,MIXED,3,"78207, YP listed"
ROOFING LEADS:
Estrada's Roofing,ROOFING,San Antonio,78228,(210),bbb.org,MIXED,4,"78228, BBB Accredited"
John Ochoa and Sons Roofing,ROOFING,5818 Farragut Dr,78228,(210) 684-7663,roof.info,YES,3,"78228, confirmed address"
Atrium Roofing,ROOFING,San Antonio,78228,,Yelp,MIXED,4,"Top rated SA roofer"
Rhino Roofers,ROOFING,San Antonio,78228,,Yelp,MIXED,4,"Top rated"
Roesler's Roofing & Remodeling,ROOFING,San Antonio,78207,,roeslersroofing.com,MIXED,3,"78207 area, 25+ yrs"
AUTO REPAIR LEADS:
Chad Miller Auto Care,AUTO REPAIR,San Antonio,78228,(210),cmautocare.com,MIXED,4,"78228, top Yelp"
Star Collision Repair,AUTO REPAIR,San Antonio,78228,,Yelp,MIXED,3,"78228"
Thrash Automotive,AUTO REPAIR,San Antonio,78228,,Yelp,MIXED,3,"78228"
Martins Auto Clinic,AUTO REPAIR,San Antonio,78228,,Yelp,MIXED,3,"78228"
Ramirez Auto Repair,AUTO REPAIR,1331 Watkins Ln,78228,(210),mapquest,MIXED,2,"78228"
Badders Garage Inc.,AUTO REPAIR,520 N Colorado St,78207,(210),businessyab,MIXED,2,"78207"
Alamo City Automotive & Collision Repair,AUTO REPAIR,2516 W Commerce St,78207,(210),web,MIXED,2,"78207"
Lalo's Auto Mechanic,AUTO REPAIR,1307 W Travis St,78207,(210),businessyab,MIXED,2,"78207"
CLEANING SERVICE LEADS:
Sparkly Maid San Antonio,CLEANING,San Antonio,78228,(210) 664-5052,web,MIXED,4,"78228 area, 5-star rated"
Maids on a Mission,CLEANING,San Antonio,78228,,web,MIXED,3,"SA cleaning, 78228 area"
The Cleaning Authority - San Antonio Missions,CLEANING,San Antonio,78228,,web,MIXED,3,"78228 area"
A&A Cleaning Services,CLEANING,San Antonio,78228,(830),web,MIXED,3,"20+ years, 78228 area"
Mimi Cleaning Service,CLEANING,San Antonio,78228,,Yelp,MIXED,2,"78228"
Texas Cleaning Services,CLEANING,San Antonio,78228,,Yelp,MIXED,2,"78228"
ELECTRICIAN LEADS:
Mister Sparky of San Antonio,ELECTRICIAN,San Antonio,78228,(210),mistersparky.com,MIXED,4,"78228 area, national brand"
Mr. Electric of San Antonio,ELECTRICIAN,San Antonio,78228,(210),mrelectricsanantonio.com,MIXED,4,"78228 area"
DENTIST LEADS:
Ziva Dental,DENTIST,San Antonio,78228,(210),zivadental.com,MIXED,3,"78228 area"
San Antonio Christian Dental Clinic,DENTIST,San Antonio,78207,,web,MIXED,2,"78207 area"
