Business Name,Industry,Address,ZIP,Phone,Source,Verified,Opportunity Score,Notes
EcoForce Pest Management,PEST CONTROL,San Antonio,78207,,Yelp,MIXED,3,"78207 area"
Lone Star Bug & Pest Control,PEST CONTROL,San Antonio,78207,,Yelp,MIXED,3,"78207 area"
Blessed Pest Control,PEST CONTROL,San Antonio,78207,,Yelp,MIXED,3,"78207 & 78228 & 78237 areas"
Bulwark Exterminating,PEST CONTROL,San Antonio,78228,(210),bulwarkpestcontrol.com,MIXED,4,"SA location, 78228 & 78211"
Truly Nolen Pest Control,PEST CONTROL,San Antonio,78228,(210),locations.trulynolen.com,MIXED,4,"National brand, 78228 & 78211"
Terminix,PEST CONTROL,San Antonio,78228,(844),terminix.com,MIXED,4,"National brand, 78228 & 78211"
Lackland Pest Control,PEST CONTROL,San Antonio,78228,,Yelp,MIXED,3,"78228 & 78237"
BUGCO Pest Control San Antonio,PEST CONTROL,San Antonio,78228,,Yelp,MIXED,3,"78228 & 78207"
Urban Texas Pest Control,PEST CONTROL,San Antonio,78237,,Yelp,MIXED,3,"78237 area"
The Amazing Pest Guys,PEST CONTROL,San Antonio,78237,(830) 217-5641,web+website,MIXED,3,"78237, confirmed phone"
Massey Services,PEST CONTROL,San Antonio,78211,,masseyservices.com,MIXED,4,"78211 area, well-established"
Orkin,PEST CONTROL,San Antonio,78211,(800),orkin.com,MIXED,4,"National brand, 78211"
Aptive Pest Control,PEST CONTROL,San Antonio,78211,(210),ativepestcontrol.com,MIXED,3,"78211"
HomeTeam Pest Defense,PEST CONTROL,San Antonio,78211,(210),pestdefense.com,MIXED,4,"78211, well-reviewed"
Alta Pest Control,PEST CONTROL,San Antonio,78211,(210) 940-0623,web,MIXED,3,"78211, confirmed phone"
Accurate Pest Control,PEST CONTROL,San Antonio,78211,(210),accuratepest.net,MIXED,3,"78211"
LANDSCAPING LEADS — ENRICHED 2026-05-29:
Heavenly Lawn Care Service,LANDSCAPING,812 S San Augustine Ave,78237,(210) 797-6139,Chamber+BBB+YellowPages+Facebook,YES,4,"78237, confirmed address + multi-source"
P & T Lawn Service,LANDSCAPING,2841 Castroville Rd,78237,,MapQuest+Manta,MIXED,2,"78237 area"
G&S Lawn Service,LANDSCAPING,San Antonio,78237,,Manta,MIXED,2,"78237 area"
Windcrest Lawn Services,LANDSCAPING,San Antonio,78237,,Yelp,MIXED,3,"78237 area"
Preacher's Lawn Service,LANDSCAPING,San Antonio,78237,,Yelp,MIXED,2,"78237 area"
Garcia's Lawn Care Services,LANDSCAPING,San Antonio,78237,,Yelp,MIXED,2,"78237 area"
Hernandez Tree Services,LANDSCAPING,San Antonio,78237,,Yelp,MIXED,3,"78237 area"
DDP Lawn Service,LANDSCAPING,934 SW 38th St,78237,,yellowpages,MIXED,2,"78237"
Tree Service of San Antonio,LANDSCAPING,San Antonio,78228,,superpages,MIXED,3,"78228, tree services"
SA Metal Roofing,LANDSCAPING,203 Yolanda Dr,78228,(210) 336-0688,MapQuest+Yelp,MIXED,3,"78228, tree + landscape adjacent"
Reyes Landscaping,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,3,"78211 top listed"
Villeda Tree and Landscaping,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,3,"78211"
Burgess Services,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,3,"78211"
Superior Irrigation & Lawn,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,3,"78211"
J Lozano Lawn Services,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,2,"78211"
Eric & Eric Lawn Service,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,2,"78211"
Ecoterra Landscaping & Irrigation,LANDSCAPING,San Antonio,78211,,Yelp,MIXED,3,"78211"
Isaiah's Landscaping,LANDSCAPING,142 Tedder St,78211,(210) 392-0751,Trees.com,YES,4,"78211, confirmed address + phone"
Landscaping BBS,LANDSCAPING,San Antonio,78211,,landscapingbbs.com,MIXED,3,"78211 area"
HVAC LEADS — ENRICHED 2026-05-29:
Triple R Air Conditioning & Heating,HVAC,7534 New Laredo Hwy,78211,(210) 884-6161,Yelp+MapQuest+Bizapedia+Buildzoom,YES,5,"78211, confirmed address + phone, cross-referenced"
AC Robert's,HVAC,San Antonio,78211,(210) 650-2161,Yelp+YellowPages,MIXED,3,"78211, confirmed phone"
Texas Air Repair,HVAC,San Antonio,78211,,Yelp,MIXED,3,"78211 area"
Proficient Air Conditioning & Heating,HVAC,San Antonio,78211,,yellowpages,MIXED,3,"78211, YP listed"
Gillette Air Conditioning Inc,HVAC,San Antonio,78211,,yellowpages,MIXED,2,"78211"
Oliva Air Conditioning Heating & Refrigeration,HVAC,San Antonio,78207,,yellowpages,MIXED,3,"78207, YP listed"
Diamond Heating & Air Conditioning,HVAC,San Antonio,78207,,yellowpages,MIXED,3,"78207, YP listed"
Stay-Cool Air Conditioning & Heating,HVAC,San Antonio,78207,(210) 985-8048,staycoolsatx.com+Yelp,MIXED,3,"78207, confirmed phone"
Beluga Air,HVAC,San Antonio,78207,,Yelp,MIXED,3,"78207 area, 4.7 star rated"
Veteran Air,HVAC,San Antonio,78207,,Yelp,MIXED,2,"78207 area"
ATM HVAC,HVAC,San Antonio,78207,(210),atmhvac.com,MIXED,3,"78207 area"
PLUMBING LEADS — ENRICHED 2026-05-29:
Roto-Rooter Plumbing & Water Cleanup,PLUMBING,1426 W Commerce St,78207,(210),yellowpages+website,YES,5,"78207, national brand, multi-source"
Harrell Plumbing,PLUMBING,1321 N San Jacinto St,78207,(210) 736-2295,Yelp+website+MapQuest+ZoomInfo,YES,5,"78207, family-owned since 1973, fully verified"
Texas Plumbing,PLUMBING,1547 W Poplar St,78207,(210) 972-6425,YahooLocal,MIXED,3,"78207, confirmed address + phone"
Tx Spartan Plumbing,PLUMBING,San Antonio,78207,(210) 396-,Yelp,MIXED,2,"78207, Yelp listed"
Ajax Plumbing Sewer & Drain Cleaning,PLUMBING,San Antonio,78207,,MapQuest,MIXED,2,"78207"
Coverall Plumbing,PLUMBING,San Antonio,78207,,yellowpages,MIXED,3,"78207, YP listed"
Holt Plumbing Solutions,PLUMBING,San Antonio,78207,,yellowpages,MIXED,3,"78207, YP listed"
Evenflow Plumbing & Electrical,PLUMBING,San Antonio,78207,(210) 452-2900,yellowpages+evenflowhomeservices.com,MIXED,3,"78207, confirmed phone"
Schlundt Plumbing Co,PLUMBING,San Antonio,78211,,yellowpages,MIXED,3,"78211, YP listed"
Arredondo Plumbing & Supply,PLUMBING,San Antonio,78211,,yellowpages,MIXED,3,"78211, YP listed"
ROOFING LEADS — ENRICHED 2026-05-29:
Estrada's Roofing,ROOFING,San Antonio,78228,(210),bbb.org,MIXED,4,"78228, BBB Accredited"
John Ochoa and Sons Roofing,ROOFING,5818 Farragut Dr,78228,(210) 684-7663,roof.info,YES,3,"78228, confirmed address"
Atrium Roofing,ROOFING,San Antonio,78228,,Yelp,MIXED,4,"Top rated SA roofer"
Rhino Roofers,ROOFING,San Antonio,78228,,Yelp,MIXED,4,"Top rated"
Alexander's Roofing & Remodeling,ROOFING,350 W Broadview Dr,78228,(210) 436-1135,Yelp+website,YES,3,"78228, confirmed address + phone"
SA Metal Roofing,ROOFING,203 Yolanda Dr,78228,(210) 336-0688,MapQuest+Yelp+website,MIXED,4,"78228, 30+ years, confirmed"
Pinnacle Roofing Partners,ROOFING,1716 S San Marcos St Ste 11,78207,,pinnroofing.com,MIXED,3,"78207, confirmed address"
Roesler's Roofing & Remodeling,ROOFING,San Antonio,78207,,roeslersroofing.com,MIXED,3,"78207 area, 25+ yrs"
AUTO REPAIR LEADS — ENRICHED 2026-05-29:
Chad Miller Auto Care,AUTO REPAIR,San Antonio,78228,(210),cmautocare.com,MIXED,4,"78228, top Yelp"
Star Collision Repair,AUTO REPAIR,San Antonio,78228,,Yelp,MIXED,3,"78228"
Thrash Automotive,AUTO REPAIR,San Antonio,78228,,Yelp,MIXED,3,"78228"
Martins Auto Clinic,AUTO REPAIR,San Antonio,78228,,Yelp,MIXED,3,"78228"
Ramirez Auto Repair,AUTO REPAIR,1331 Watkins Ln,78228,(210),mapquest,MIXED,2,"78228"
Erik's Automotive,AUTO REPAIR,1402 W Commerce St,78207,(210) 960-9391,eriksautomotive.com,MIXED,3,"78207, confirmed address + phone"
Badders Garage Inc.,AUTO REPAIR,520 N Colorado St,78207,(210),businessyab,MIXED,2,"78207"
Alamo City Automotive & Collision Repair,AUTO REPAIR,2516 W Commerce St,78207,(210),web,MIXED,2,"78207"
Lalo's Auto Mechanic,AUTO REPAIR,1307 W Travis St,78207,(210),businessyab,MIXED,2,"78207"
Mechanic To Go,AUTO REPAIR,721 Castroville Rd,78237,(210) 505-0731,MapQuest+Facebook,MIXED,3,"78237, mobile mechanic, confirmed address + phone"
Juiels Auto Clinic - South,AUTO REPAIR,San Antonio,78211,(210) 405-4922,carwise+carlisleautoair.com,MIXED,3,"78211, confirmed phone"
CLEANING SERVICE LEADS — ENRICHED 2026-05-29:
Patriot Maids Cleaning Services,CLEANING,1711 S Laredo St Ste 116,78207,(210) 756-6989,website+wheree+ringmybiz,YES,4,"78207, confirmed address + phone, multi-source"
Sparkly Maid San Antonio,CLEANING,San Antonio,78228,(210) 664-5052,web,MIXED,4,"78228 area, 5-star rated"
Maids on a Mission,CLEANING,San Antonio,78228,,web,MIXED,3,"SA cleaning, 78228 area"
The Cleaning Authority - San Antonio Missions,CLEANING,San Antonio,78228,,web,MIXED,3,"78228 area"
A&A Cleaning Services,CLEANING,San Antonio,78228,(830),web,MIXED,3,"20+ years, 78228 area"
Maid in America,CLEANING,1021 Donaldson Ave,78228,,MapQuest+enigma,MIXED,3,"78228, confirmed address"
Custom Maid Service Reviews,CLEANING,147 Merida St,78207,,Angi,MIXED,2,"78207, confirmed address"
Cozy Maid,CLEANING,San Antonio,78237,,Yelp,MIXED,3,"78237 area"
TLC Total Lawn Care,CLEANING,San Antonio,78228,,tlclawncare.com,MIXED,2,"28228 area"
ELECTRICIAN LEADS — ENRICHED 2026-05-29:
Mister Sparky of San Antonio,ELECTRICIAN,San Antonio,78228,(210),mistersparky.com,MIXED,4,"78228 area, national brand"
Mr. Electric of San Antonio,ELECTRICIAN,San Antonio,78228,(210),mrelectricsanantonio.com,MIXED,4,"78228 area"
JV Electric LLC,ELECTRICIAN,2630 Culebra Rd,78228,,bbb.org,MIXED,3,"78228, BBB listed, confirmed address"
DENTIST LEADS — ENRICHED 2026-05-29:
Ziva Dental,DENTIST,San Antonio,78228,(210),zivadental.com,MIXED,3,"78228 area"
San Antonio Christian Dental Clinic,DENTIST,San Antonio,78207,,web,MIXED,2,"78207 area"
